,Melhores Jogadores
0,Pengu
1,Fabian
2,Canadian
3,Goga
4,Kantoraketti
5,jNSzki
6,Bosco
7,Thinkingnade
8,Rampy
9,Fultz
10,ShepparD
11,JoyStiCK
12,Scyther
13,karzheka
14,Psycho
15,Kamikaze
16,Julio
17,Geometrics
18,Skys
19,pino
20,Muzi
21,Ecl9pse
22,Elemzje
23,nesk
24,Achieved
25,LaXInG
26,Beaulo
27,Merc
28,Renshiro
29,xS3xyCake
30,HSnamuringa
31,RaFaLe
32,dan
33,Shockwave
34,Yung
35,FoxA
36,nvK
37,Necrox
38,Mint
39,Hotancold
40,psk1
41,Paluh
42,Shaiiko
43,Virtue
44,UUNO
45,Bullet1
46,Hyper
47,Retro
48,Pojoman
49,cameram4n
50,Lusty
51,SHA77E
52,Slashug
53,Astro
54,Mag
55,Chala
56,risze
57,CTZN
58,mav
59,Hicks
60,VertcL
61,yoona
62,korey
63,AceeZ
64,ziGueira
65,Cyber
66,KS
67,MKing
68,BriD
69,Mark
70,Easilyy
71,BC
72,Saves
73,Kendrew
74,rxwd
75,ripz
76,Static
77,EnvyTaylor
78,Merieux
79,Novys
80,Papilia
81,neLo
82,gohaN
83,Nyx
84,ReyCyil
85,Hugzord
86,Nova
87,ion
88,ENEMY
89,Acez
90,MentalistC
91,Lunarmetal
92,Ysaera
93,SirBoss
94,RizRaz
95,HysteRiX
96,Pie
97,Shuttle
98,SpeakEasy
99,Bounssi
