Categoria: Todas as categorias,
,
País,Apex Legends: (06/04/2020 – 06/04/2021)
Guam,
Guernsey,
Santa Lúcia,
Hong Kong,100
Porto Rico,95
Brunei,
Taiwan,81
Macau,
Trinidad e Tobago,
Islândia,
Noruega,70
Panamá,70
China,
Ilhas Cayman,
Estônia,64
Belize,
Guiana,
Suécia,61
Estados Unidos,58
Bahamas,
Costa Rica,58
Hungria,56
Japão,55
Lituânia,54
Chile,54
Tchéquia,54
Canadá,53
Portugal,53
Maldivas,
México,50
Coreia do Sul,48
El Salvador,
Luxemburgo,
Singapura,45
Polinésia Francesa,
Reunião,
Alemanha,43
Finlândia,43
Reino Unido,41
Nova Zelândia,41
Países Baixos,41
Áustria,41
Eslováquia,39
Austrália,39
África do Sul,39
Ilha de Man,
Croácia,38
Honduras,
Letônia,
Bolívia,37
Malásia,35
Filipinas,35
Bélgica,35
Líbano,
Curaçao,
Malta,
Maurício,
Guatemala,34
Botsuana,
Chipre,
Suriname,
Barbados,
Jamaica,
Espanha,32
Rússia,32
Irlanda,32
Barein,
Romênia,30
Paraguai,
Jersey,
Andorra,
Nicarágua,
Mongólia,
Grécia,29
Argentina,28
Equador,28
Guadalupe,
Mianmar (Birmânia),
Aruba,
Suíça,27
Colômbia,27
República Dominicana,25
Ilhas Virgens Americanas,
Sri Lanka,
Dinamarca,25
Uruguai,
Macedônia do Norte,
Sérvia,24
Bósnia e Herzegovina,
Bulgária,24
Eslovênia,
Emirados Árabes Unidos,24
Peru,23
Catar,
Moldávia,
Tailândia,23
Bangladesh,22
Antígua e Barbuda,
Martinica,
França,22
Montenegro,
Namíbia,
Santa Helena,
Bielorrússia,20
Kuwait,
Kosovo,
Nepal,
Bermudas,
Ucrânia,19
Geórgia,
Itália,18
Jordânia,
Brasil,18
Indonésia,17
Israel,17
Omã,
Polônia,14
Iraque,
Arábia Saudita,14
Albânia,
Líbia,
Paquistão,14
Venezuela,13
Palestina,
Cazaquistão,13
Egito,13
Tunísia,
Fiji,
Quênia,
Armênia,
Cuba,
Irã,11
Zimbábue,
Camboja,
Gana,
Argélia,
Marrocos,
Angola,
Turquia,8
Uzbequistão,
Senegal,
Zâmbia,
Vietnã,8
Azerbaijão,
Índia,8
Nova Caledônia,
Etiópia,
Sudão,
Moçambique,
Quirguistão,
Gabão,
Afeganistão,
Laos,
Nigéria,
Uganda,
Síria,
Iêmen,
Tanzânia,
Congo - Kinshasa,
Madagascar,
Camarões,
Costa do Marfim,
Palau,
Svalbard e Jan Mayen,
Ilhas Turcas e Caicos,
Ilhas Marshall,
Países Baixos Caribenhos,
Samoa,
São Cristóvão e Névis,
Ilhas Marianas do Norte,
Sint Maarten,
São Vicente e Granadinas,
Ilhas Aland,
Guiana Francesa,
Ilhas Virgens Britânicas,
Groenlândia,
São Martinho,
Ilhas Faroé,
Liechtenstein,
Cabo Verde,
Guiné-Bissau,
San Marino,
Saara Ocidental,
Butão,
Gibraltar,
Granada,
Somália,
Mauritânia,
Gâmbia,
Guiné,
Togo,
Essuatíni,
Haiti,
Níger,
Ruanda,
Turcomenistão,
Malaui,
Burquina Faso,
Tadjiquistão,
Benin,
Anguila,
Samoa Americana,
Antártida,
Territórios Franceses do Sul,
Burundi,
São Bartolomeu,
Ilha Bouvet,
República Centro-Africana,
Ilhas Cocos (Keeling),
República do Congo,
Ilhas Cook,
Comores,
Ilha Christmas,
Djibuti,
Dominica,
Eritreia,
Ilhas Malvinas (Ilhas Falkland),
Micronésia,
Guiné Equatorial,
Ilhas Heard e McDonald,
Território Britânico do Oceano Índico,
Quiribati,
Libéria,
Lesoto,
Mônaco,
Mali,
Montserrat,
Mayotte,
Ilha Norfolk,
Niue,
Nauru,
Ilhas Pitcairn,
Papua-Nova Guiné,
Coreia do Norte,
Ilhas Geórgia do Sul e Sandwich do Sul,
Ilhas Salomão,
Serra Leoa,
São Pedro e Miquelão,
Sudão do Sul,
São Tomé e Príncipe,
Seicheles,
Chade,
Tokelau,
Timor-Leste,
Tonga,
Tuvalu,
Ilhas Menores Distantes dos EUA,
Cidade do Vaticano,
Vanuatu,
Wallis e Futuna,
