Categoria: Todas as categorias,
,
País,Counter-Strike: Global Offensive: (06/04/2020 – 06/04/2021)
Kosovo,100
Mongólia,70
Macedônia do Norte,62
Rússia,60
Cazaquistão,52
Lituânia,52
Ilhas Faroé,
Dinamarca,50
Romênia,50
Ucrânia,47
Ilhas Aland,
Moldávia,46
Portugal,46
Letônia,45
Estônia,45
Bielorrússia,42
Finlândia,40
Sérvia,35
Bósnia e Herzegovina,34
Polônia,32
Tadjiquistão,
Eslováquia,30
Tchéquia,30
Quirguistão,28
Uzbequistão,27
Islândia,
Suécia,27
Turquia,26
Geórgia,26
Bulgária,23
Montenegro,
Noruega,22
Macau,
Singapura,21
Brunei,
Mianmar (Birmânia),21
Turcomenistão,
Hungria,19
Groenlândia,
Filipinas,17
Hong Kong,17
Eslovênia,16
Argentina,16
China,
Malásia,13
Albânia,
Santa Helena,
Guernsey,
Croácia,12
Chipre,
Ilha de Man,
Brasil,12
Israel,11
Líbano,
Azerbaijão,
Chile,11
Guam,
Aruba,
Luxemburgo,
Nova Zelândia,10
Alemanha,10
Uruguai,10
Austrália,10
Áustria,9
Ilhas Marianas do Norte,
Armênia,
Liechtenstein,
Camboja,
Canadá,9
Paquistão,9
Peru,9
Bélgica,8
Maldivas,
Vietnã,8
Argélia,8
Malta,
Palestina,
Andorra,
Espanha,7
Reino Unido,7
Grécia,7
Tunísia,
Butão,
Países Baixos,7
Paraguai,
Jersey,
Emirados Árabes Unidos,6
Nepal,
Suíça,6
África do Sul,6
Irlanda,6
Estados Unidos,6
França,5
Catar,
Maurício,
Jordânia,
Bangladesh,5
Guiana Francesa,
Laos,
Coreia do Sul,4
Tailândia,4
Indonésia,4
Reunião,
Barein,
Taiwan,4
Bolívia,
Índia,3
Marrocos,
Namíbia,
Venezuela,
Bermudas,
Irã,3
Madagascar,
Kuwait,
Omã,
Síria,
Panamá,
Ilhas Cayman,
Sri Lanka,
Costa Rica,
Guatemala,
Antígua e Barbuda,
Barbados,
Trinidad e Tobago,
Iraque,
Colômbia,2
Fiji,
Equador,
El Salvador,
Belize,
Egito,
Nova Caledônia,
Etiópia,
Gibraltar,
República Dominicana,
Bahamas,
Nicarágua,
Itália,2
Martinica,
Ruanda,
Jamaica,
Arábia Saudita,
Porto Rico,
Cuba,
México,1
Guadalupe,
Japão,1
Moçambique,
Polinésia Francesa,
Honduras,
Angola,
Afeganistão,
Gana,
Quênia,
Zimbábue,
Líbia,
Suriname,
Curaçao,
Tanzânia,
Nigéria,
Botsuana,
Sudão,
Costa do Marfim,
Iêmen,
Senegal,
Uganda,
Gabão,
Zâmbia,
Camarões,
Svalbard e Jan Mayen,
Ilhas Cook,
São Tomé e Príncipe,
San Marino,
Sint Maarten,
Ilhas Salomão,
Cabo Verde,
República Centro-Africana,
São Cristóvão e Névis,
Guiné Equatorial,
Essuatíni,
Guiana,
Mauritânia,
São Vicente e Granadinas,
Somália,
Djibuti,
Burundi,
Timor-Leste,
Saara Ocidental,
Gâmbia,
Santa Lúcia,
Togo,
Congo - Kinshasa,
Malaui,
Benin,
Mali,
Anguila,
Samoa Americana,
Antártida,
Territórios Franceses do Sul,
Países Baixos Caribenhos,
Burquina Faso,
São Bartolomeu,
Ilha Bouvet,
Ilhas Cocos (Keeling),
República do Congo,
Comores,
Ilha Christmas,
Dominica,
Eritreia,
Ilhas Malvinas (Ilhas Falkland),
Micronésia,
Guiné,
Guiné-Bissau,
Granada,
Ilhas Heard e McDonald,
Haiti,
Território Britânico do Oceano Índico,
Quiribati,
Libéria,
Lesoto,
São Martinho,
Mônaco,
Ilhas Marshall,
Montserrat,
Mayotte,
Níger,
Ilha Norfolk,
Niue,
Nauru,
Ilhas Pitcairn,
Palau,
Papua-Nova Guiné,
Coreia do Norte,
Ilhas Geórgia do Sul e Sandwich do Sul,
Serra Leoa,
São Pedro e Miquelão,
Sudão do Sul,
Seicheles,
Ilhas Turcas e Caicos,
Chade,
Tokelau,
Tonga,
Tuvalu,
Ilhas Menores Distantes dos EUA,
Cidade do Vaticano,
Ilhas Virgens Britânicas,
Ilhas Virgens Americanas,
Vanuatu,
Wallis e Futuna,
Samoa,
