Categoria: Todas as categorias,
,
País,Call of Duty: Modern Warfare: (06/04/2020 – 06/04/2021)
Guam,
Países Baixos Caribenhos,
Ilhas Marianas do Norte,
Guernsey,
Ilhas Virgens Americanas,
Jersey,
Islândia,
Seicheles,
Estados Unidos,100
Reino Unido,97
Ilha de Man,
Curaçao,
Ilhas Turcas e Caicos,
Ilhas Aland,
Canadá,85
Ilhas Cayman,
Groenlândia,
Porto Rico,79
Austrália,75
São Cristóvão e Névis,
Noruega,70
Irlanda,70
Aruba,
San Marino,
Bermudas,
Kuwait,64
Nova Zelândia,60
Países Baixos,58
Ilhas Faroé,
Guiana,
Barbados,
Maldivas,
Trinidad e Tobago,
Alemanha,52
Gibraltar,
Cuba,
Reunião,
Hungria,50
Barein,
Malta,
Bélgica,47
Dinamarca,47
Finlândia,47
Dominica,
Brunei,
Sint Maarten,
Suécia,45
França,45
Santa Lúcia,
África do Sul,45
Áustria,45
Chipre,
Emirados Árabes Unidos,43
Catar,
Líbano,
Belize,
Luxemburgo,
Honduras,
Nova Caledônia,
Madagascar,
Cabo Verde,
Panamá,
Singapura,37
Suíça,37
Andorra,
Tchéquia,37
Filipinas,37
São Vicente e Granadinas,
Bahamas,
Liechtenstein,
Omã,
Santa Helena,
Maurício,
Estônia,
Eslovênia,
Djibuti,
Chile,33
Sri Lanka,33
Mayotte,
Costa Rica,
Martinica,
Portugal,31
Lituânia,
Croácia,29
Itália,29
Macedônia do Norte,
México,29
Papua-Nova Guiné,
Espanha,29
Coreia do Sul,29
Jamaica,
El Salvador,
Fiji,
Guadalupe,
Suriname,
Antígua e Barbuda,
Macau,
Polinésia Francesa,
Essuatíni,
Israel,27
Venezuela,27
Geórgia,
Japão,27
Paquistão,27
Arábia Saudita,25
Letônia,
Turcomenistão,
Eslováquia,25
Namíbia,
Guiana Francesa,
Bolívia,
Botsuana,
Etiópia,
Romênia,22
Iraque,
Guatemala,
Colômbia,22
Kosovo,
Bósnia e Herzegovina,
Grécia,20
República Dominicana,
Uruguai,
Polônia,20
Sérvia,
Argentina,20
Paraguai,
Turquia,18
Albânia,
Togo,
Moldávia,
Uzbequistão,
Bangladesh,18
Angola,
Malásia,18
Brasil,16
Tunísia,
Jordânia,
Hong Kong,16
China,
Rússia,16
Nicarágua,
Equador,16
Gabão,
Bulgária,
Azerbaijão,
Ucrânia,16
Irã,16
Mongólia,
Argélia,
Palestina,
Zimbábue,
Afeganistão,
Líbia,
Armênia,
Butão,
Peru,14
Níger,
República do Congo,
Senegal,
Egito,12
Quênia,
Costa do Marfim,
Bielorrússia,
Serra Leoa,
Mianmar (Birmânia),
Montenegro,
Malaui,
Moçambique,
Cazaquistão,
Nepal,
Granada,
Burquina Faso,
Uganda,
Tailândia,10
Marrocos,
Indonésia,8
Camarões,
Congo - Kinshasa,
Quirguistão,
Gana,
Mauritânia,
Tanzânia,
Nigéria,
Camboja,
Sudão,
Índia,8
Haiti,
Somália,
Taiwan,6
Laos,
Ruanda,
Guiné,
Vietnã,6
Síria,
Tadjiquistão,
Benin,
Zâmbia,
Mali,
Iêmen,
Svalbard e Jan Mayen,
São Martinho,
Ilhas Cook,
Ilhas Virgens Britânicas,
Palau,
Comores,
Ilhas Salomão,
Guiné Equatorial,
Guiné-Bissau,
Timor-Leste,
Lesoto,
Burundi,
Libéria,
Anguila,
Samoa Americana,
Antártida,
Territórios Franceses do Sul,
São Bartolomeu,
Ilha Bouvet,
República Centro-Africana,
Ilhas Cocos (Keeling),
Ilha Christmas,
Eritreia,
Saara Ocidental,
Ilhas Malvinas (Ilhas Falkland),
Micronésia,
Gâmbia,
Ilhas Heard e McDonald,
Território Britânico do Oceano Índico,
Quiribati,
Mônaco,
Ilhas Marshall,
Montserrat,
Ilha Norfolk,
Niue,
Nauru,
Ilhas Pitcairn,
Coreia do Norte,
Ilhas Geórgia do Sul e Sandwich do Sul,
São Pedro e Miquelão,
Sudão do Sul,
São Tomé e Príncipe,
Chade,
Tokelau,
Tonga,
Tuvalu,
Ilhas Menores Distantes dos EUA,
Cidade do Vaticano,
Vanuatu,
Wallis e Futuna,
Samoa,
