Categoria: Todas as categorias,
,
País,Dota 2: (06/04/2020 – 06/04/2021)
Mongólia,100
Mianmar (Birmânia),79
Cuba,59
Bolívia,57
Filipinas,56
Peru,56
Singapura,35
Bielorrússia,31
Turcomenistão,
Rússia,30
Macedônia do Norte,29
Uzbequistão,29
Ilhas Faroé,
Cazaquistão,26
Ucrânia,26
Malásia,25
Quirguistão,23
Butão,
Moldávia,18
Ilhas Marianas do Norte,
China,15
Camboja,13
Líbano,13
Brunei,
Ilhas Aland,
Sérvia,12
Tadjiquistão,
Kosovo,
Letônia,11
Tailândia,10
Estônia,10
Indonésia,10
Geórgia,10
Madagascar,
Nepal,10
Sri Lanka,9
Finlândia,8
Suécia,8
Bulgária,8
Montenegro,
Jordânia,8
Tchéquia,7
Islândia,
Nova Zelândia,7
Laos,
Romênia,7
Austrália,7
Santa Helena,
Lituânia,6
Irã,6
Dinamarca,6
Noruega,6
Emirados Árabes Unidos,6
Maurício,
Maldivas,
Vietnã,6
Catar,
Equador,6
Macau,
Eslováquia,5
Armênia,
Canadá,5
Croácia,5
Bósnia e Herzegovina,
Fiji,
Costa Rica,5
Ilhas Cayman,
Albânia,
Paquistão,4
Guam,
África do Sul,4
Azerbaijão,
Chipre,
Trinidad e Tobago,
Coreia do Sul,4
Grécia,4
Venezuela,4
Hong Kong,4
Bangladesh,4
Namíbia,
Nova Caledônia,
Áustria,3
Suriname,
Eslovênia,
Brasil,3
Jersey,
Argentina,3
Israel,3
Hungria,3
Alemanha,3
Reino Unido,3
Chile,3
Estados Unidos,3
Paraguai,
Malta,
Síria,
Papua-Nova Guiné,
Portugal,2
Turquia,2
Polônia,2
Ilha de Man,
Kuwait,
Omã,
Países Baixos,2
Irlanda,2
Panamá,
Barein,
Suíça,2
Uruguai,
Índia,2
Jamaica,
Níger,
Taiwan,2
Honduras,
Arábia Saudita,2
Bélgica,2
Guatemala,
Barbados,
Palestina,
Luxemburgo,
Colômbia,1
Nicarágua,
Argélia,
França,1
República Dominicana,
Porto Rico,
Guernsey,
Guiné,
Santa Lúcia,
Líbia,
Itália,1
Espanha,1
Egito,1
El Salvador,
Etiópia,
Curaçao,
Zimbábue,
Mali,
Afeganistão,
Camarões,
Botsuana,
Reunião,
México,1
Somália,
Guadalupe,
Moçambique,
Tunísia,
Uganda,
Marrocos,
Japão,1
Zâmbia,
Bahamas,
Quênia,
Iraque,
Sudão,
Tanzânia,
Costa do Marfim,
Angola,
Guiana,
Martinica,
Nigéria,
Gana,
Iêmen,
Senegal,
Ilhas Malvinas (Ilhas Falkland),
Ilhas Marshall,
Ilhas Salomão,
Vanuatu,
Sint Maarten,
Dominica,
Ilhas Virgens Americanas,
Groenlândia,
Saara Ocidental,
Gibraltar,
Andorra,
Chade,
Essuatíni,
Burundi,
Antígua e Barbuda,
Benin,
Mauritânia,
Bermudas,
República do Congo,
Congo - Kinshasa,
Gabão,
Serra Leoa,
Togo,
Burquina Faso,
Aruba,
Anguila,
Samoa Americana,
Antártida,
Territórios Franceses do Sul,
Países Baixos Caribenhos,
São Bartolomeu,
Belize,
Ilha Bouvet,
República Centro-Africana,
Ilhas Cocos (Keeling),
Ilhas Cook,
Comores,
Cabo Verde,
Ilha Christmas,
Djibuti,
Eritreia,
Micronésia,
Gâmbia,
Guiné-Bissau,
Guiné Equatorial,
Granada,
Guiana Francesa,
Ilhas Heard e McDonald,
Haiti,
Território Britânico do Oceano Índico,
Quiribati,
São Cristóvão e Névis,
Libéria,
Liechtenstein,
Lesoto,
São Martinho,
Mônaco,
Montserrat,
Malaui,
Mayotte,
Ilha Norfolk,
Niue,
Nauru,
Ilhas Pitcairn,
Palau,
Coreia do Norte,
Polinésia Francesa,
Ruanda,
Ilhas Geórgia do Sul e Sandwich do Sul,
Svalbard e Jan Mayen,
San Marino,
São Pedro e Miquelão,
Sudão do Sul,
São Tomé e Príncipe,
Seicheles,
Ilhas Turcas e Caicos,
Tokelau,
Timor-Leste,
Tonga,
Tuvalu,
Ilhas Menores Distantes dos EUA,
Cidade do Vaticano,
São Vicente e Granadinas,
Ilhas Virgens Britânicas,
Wallis e Futuna,
Samoa,
