Categoria: Todas as categorias,
,
País,League of Legends: (06/04/2020 – 06/04/2021)
Coreia do Sul,100
Macau,
China,26
Hong Kong,24
Chile,22
Taiwan,21
Ilhas Marianas do Norte,
Filipinas,19
Vietnã,16
Tchéquia,16
Portugal,15
Lituânia,15
Sérvia,15
Polônia,15
Bulgária,15
Mianmar (Birmânia),
Bolívia,15
Macedônia do Norte,
Turquia,14
Ilhas Faroé,
Grécia,13
Romênia,13
Andorra,
Islândia,
Brunei,
Polinésia Francesa,
Argentina,12
Hungria,12
Guam,
Venezuela,12
Brasil,12
Peru,12
Chipre,
Dinamarca,11
Panamá,11
Uruguai,10
Colômbia,10
Montenegro,
Costa Rica,10
Eslovênia,10
Espanha,10
Equador,10
Geórgia,10
Tunísia,10
Estônia,
Singapura,10
Eslováquia,10
Suécia,10
França,9
Noruega,9
Croácia,9
Bósnia e Herzegovina,
Mongólia,
Canadá,8
Finlândia,8
Reunião,
Letônia,
Paraguai,8
Bélgica,8
Groenlândia,
Nova Zelândia,8
Alemanha,8
Seicheles,
México,7
Laos,
Ilhas Aland,
Liechtenstein,
Camboja,
Dominica,
Honduras,
Áustria,7
El Salvador,
Guadalupe,
Luxemburgo,
República Dominicana,7
Malta,
Trinidad e Tobago,
Santa Helena,
Austrália,6
Albânia,
Guiana Francesa,
Egito,6
Nova Caledônia,
Madagascar,
Líbano,
Kosovo,
Malásia,6
Nicarágua,
Suíça,5
Guatemala,
São Martinho,
Santa Lúcia,
Países Baixos,5
São Pedro e Miquelão,
Marrocos,5
Estados Unidos,5
Gibraltar,
Jersey,
Porto Rico,
Bahamas,
Emirados Árabes Unidos,5
Maldivas,
Aruba,
Cabo Verde,
Tailândia,5
Martinica,
Kuwait,
Moldávia,
Itália,5
Djibuti,
Ilhas Cayman,
Israel,4
Reino Unido,4
Vanuatu,
San Marino,
Barbados,
Fiji,
Sint Maarten,
Argélia,4
Guernsey,
Japão,4
Maurício,
Butão,
Ilha de Man,
Catar,
Belize,
Rússia,3
Jordânia,
Suriname,
Irlanda,3
Jamaica,
Barein,
Omã,
Palestina,
Ucrânia,3
Ilhas Virgens Americanas,
Azerbaijão,
São Vicente e Granadinas,
Arábia Saudita,2
São Cristóvão e Névis,
Bielorrússia,
Armênia,
Cuba,
África do Sul,2
Curaçao,
Ilhas Turcas e Caicos,
Lesoto,
Angola,
Nepal,
Togo,
Bermudas,
Papua-Nova Guiné,
São Bartolomeu,
Guiana,
Iraque,
Bangladesh,
Gâmbia,
Benin,
Mali,
Paquistão,2
Líbia,
Botsuana,
Sri Lanka,
Samoa,
Essuatíni,
Mayotte,
Costa do Marfim,
Granada,
Indonésia,2
Cazaquistão,
Moçambique,
Senegal,
Síria,
Turcomenistão,
Quirguistão,
Níger,
Antígua e Barbuda,
Gabão,
Tadjiquistão,
Gana,
Uzbequistão,
Etiópia,
Saara Ocidental,
Zâmbia,
Namíbia,
Camarões,
Congo - Kinshasa,
Uganda,
Nigéria,
Malaui,
Afeganistão,
Burundi,
Quênia,
Zimbábue,
Burquina Faso,
Mauritânia,
Ruanda,
Sudão,
Índia,1
Haiti,
Libéria,
Somália,
Tanzânia,
Irã,1
Iêmen,
República do Congo,
Sudão do Sul,
Guiné,
Samoa Americana,
Palau,
São Tomé e Príncipe,
Ilhas Virgens Britânicas,
República Centro-Africana,
Guiné Equatorial,
Guiné-Bissau,
Timor-Leste,
Anguila,
Antártida,
Territórios Franceses do Sul,
Países Baixos Caribenhos,
Ilha Bouvet,
Ilhas Cocos (Keeling),
Ilhas Cook,
Comores,
Ilha Christmas,
Eritreia,
Ilhas Malvinas (Ilhas Falkland),
Micronésia,
Ilhas Heard e McDonald,
Território Britânico do Oceano Índico,
Quiribati,
Mônaco,
Ilhas Marshall,
Montserrat,
Ilha Norfolk,
Niue,
Nauru,
Ilhas Pitcairn,
Coreia do Norte,
Ilhas Geórgia do Sul e Sandwich do Sul,
Svalbard e Jan Mayen,
Ilhas Salomão,
Serra Leoa,
Chade,
Tokelau,
Tonga,
Tuvalu,
Ilhas Menores Distantes dos EUA,
Cidade do Vaticano,
Wallis e Futuna,
