Hora,Nome,ccu
18/04/2021 19:18,Counter-Strike: Global Offensive,609408
18/04/2021 19:18,Dota 2,360478
18/04/2021 19:18,Source SDK Base 2013 Multiplayer,138659
18/04/2021 19:18,Path of Exile,117820
18/04/2021 19:18,Team Fortress 2,98829
18/04/2021 19:18,Apex Legends,94598
18/04/2021 19:18,Rust,84703
18/04/2021 19:18,Valheim,82205
18/04/2021 19:48,Counter-Strike: Global Offensive,546737
18/04/2021 19:48,Dota 2,333028
18/04/2021 19:48,Source SDK Base 2013 Multiplayer,128974
18/04/2021 19:48,Path of Exile,108103
18/04/2021 19:48,Team Fortress 2,97384
18/04/2021 19:48,Apex Legends,89069
18/04/2021 19:48,Rust,80030
18/04/2021 19:48,Valheim,75398
18/04/2021 20:18,Counter-Strike: Global Offensive,504860
18/04/2021 20:18,Dota 2,314572
18/04/2021 20:18,Source SDK Base 2013 Multiplayer,120136
18/04/2021 20:18,Path of Exile,101465
18/04/2021 20:18,Team Fortress 2,97286
18/04/2021 20:18,Apex Legends,85935
18/04/2021 20:18,Rust,77369
18/04/2021 20:18,Valheim,71625
18/04/2021 20:48,Counter-Strike: Global Offensive,468732
18/04/2021 20:48,Dota 2,296224
18/04/2021 20:48,Source SDK Base 2013 Multiplayer,114149
18/04/2021 20:48,Team Fortress 2,97199
18/04/2021 20:48,Path of Exile,95511
18/04/2021 20:48,Apex Legends,84232
18/04/2021 20:48,Rust,75290
18/04/2021 20:48,Valheim,68754
18/04/2021 21:18,Counter-Strike: Global Offensive,436961
18/04/2021 21:18,Dota 2,280780
18/04/2021 21:18,Source SDK Base 2013 Multiplayer,106770
18/04/2021 21:18,Team Fortress 2,96004
18/04/2021 21:18,Path of Exile,89606
18/04/2021 21:18,Apex Legends,83082
18/04/2021 21:18,Rust,73025
18/04/2021 21:18,Valheim,66907
18/04/2021 21:48,Counter-Strike: Global Offensive,421361
18/04/2021 21:48,Dota 2,275026
18/04/2021 21:48,Source SDK Base 2013 Multiplayer,102801
18/04/2021 21:48,Team Fortress 2,96057
18/04/2021 21:48,Path of Exile,86255
18/04/2021 21:48,Apex Legends,84392
18/04/2021 21:48,Rust,71626
