Hora,Nome,Visualizações,Canais
07/04/2021 23:26,Grand Theft Auto V,436185,986
07/04/2021 23:26,Minecraft,183697,992
07/04/2021 23:26,League of Legends,123597,989
07/04/2021 23:26,VALORANT,102641,971
07/04/2021 23:26,Call of Duty: Warzone,93204,996
07/04/2021 23:26,Fortnite,79657,992
07/04/2021 23:26,Apex Legends,65093,997
07/04/2021 23:26,Garena Free Fire,68876,844
08/04/2021 00:26,Grand Theft Auto V,376395,982
08/04/2021 00:26,Call of Duty: Warzone,124869,996
08/04/2021 00:26,League of Legends,116766,989
08/04/2021 00:26,VALORANT,81484,973
08/04/2021 00:26,Minecraft,83924,990
08/04/2021 00:26,Fortnite,71177,991
08/04/2021 00:26,Apex Legends,63650,998
08/04/2021 00:26,ALTF4,74787,18
08/04/2021 01:27,Grand Theft Auto V,245966,974
08/04/2021 01:27,League of Legends,108035,987
08/04/2021 01:27,VALORANT,96412,970
08/04/2021 01:27,Call of Duty: Warzone,87509,996
08/04/2021 01:27,Apex Legends,73037,997
08/04/2021 01:27,ALTF4,73735,25
08/04/2021 01:27,Minecraft,67077,987
08/04/2021 01:27,Fortnite,52130,990
08/04/2021 02:27,Grand Theft Auto V,180218,958
08/04/2021 02:27,VALORANT,93312,969
08/04/2021 02:27,League of Legends,90589,987
08/04/2021 02:27,Call of Duty: Warzone,73441,992
08/04/2021 02:27,Apex Legends,71151,997
08/04/2021 02:27,Totally Accurate Battlegrounds,65537,75
08/04/2021 02:27,Fortnite,57009,986
08/04/2021 02:27,Minecraft,48484,972
08/04/2021 03:28,VALORANT,136296,965
08/04/2021 03:28,Grand Theft Auto V,111858,922
08/04/2021 03:28,League of Legends,98020,985
08/04/2021 03:28,Fortnite,72055,986
08/04/2021 03:28,Call of Duty: Warzone,66055,989
08/04/2021 03:28,Apex Legends,65105,995
08/04/2021 03:28,Squad,62778,28
08/04/2021 03:28,Sea of Thieves,43831,300
08/04/2021 04:28,League of Legends,103888,976
08/04/2021 04:28,Grand Theft Auto V,90750,870
08/04/2021 04:28,VALORANT,86265,955
08/04/2021 04:28,Fortnite,77899,977
08/04/2021 04:28,Apex Legends,66473,990
08/04/2021 04:28,Call of Duty: Warzone,61714,978
08/04/2021 04:28,Sea of Thieves,40492,229
08/04/2021 04:28,Escape From Tarkov,40506,853
08/04/2021 05:29,League of Legends,127664,970
08/04/2021 05:29,VALORANT,84171,929
08/04/2021 05:29,Fortnite,81812,974
08/04/2021 05:29,Grand Theft Auto V,78718,825
08/04/2021 05:29,Call of Duty: Warzone,66808,956
08/04/2021 05:29,Apex Legends,61333,980
08/04/2021 05:29,Counter-Strike: Global Offensive,56567,785
08/04/2021 05:29,Escape From Tarkov,56252,765
08/04/2021 06:29,League of Legends,187965,969
08/04/2021 06:29,Fortnite,81789,977
08/04/2021 06:29,Grand Theft Auto V,75558,820
08/04/2021 06:29,Apex Legends,74171,973
08/04/2021 06:29,Call of Duty: Warzone,73917,950
08/04/2021 06:29,Counter-Strike: Global Offensive,64925,819
08/04/2021 06:29,Escape From Tarkov,64707,706
08/04/2021 06:29,Dota 2,54043,674
08/04/2021 07:30,League of Legends,216888,976
08/04/2021 07:30,Fortnite,76039,976
08/04/2021 07:30,Call of Duty: Warzone,78821,933
08/04/2021 07:30,Apex Legends,77777,966
08/04/2021 07:30,Counter-Strike: Global Offensive,75737,848
08/04/2021 07:30,Grand Theft Auto V,73817,823
08/04/2021 07:30,Escape From Tarkov,71197,742
08/04/2021 07:30,VALORANT,56872,913
08/04/2021 08:30,League of Legends,264020,979
08/04/2021 08:30,Apex Legends,124841,973
08/04/2021 08:30,Fortnite,87566,977
08/04/2021 08:30,Call of Duty: Warzone,85047,925
08/04/2021 08:30,VALORANT,82341,932
08/04/2021 08:30,Escape From Tarkov,75569,722
08/04/2021 08:30,Grand Theft Auto V,73711,868
08/04/2021 08:30,Counter-Strike: Global Offensive,71672,883
08/04/2021 09:31,League of Legends,222880,986
08/04/2021 09:31,Apex Legends,122173,985
08/04/2021 09:31,Fortnite,100411,986
08/04/2021 09:31,VALORANT,84680,945
08/04/2021 09:31,Call of Duty: Warzone,82496,956
08/04/2021 09:31,Grand Theft Auto V,78952,920
08/04/2021 09:31,Escape From Tarkov,75324,803
08/04/2021 09:31,Counter-Strike: Global Offensive,69067,921
08/04/2021 10:31,League of Legends,227211,986
08/04/2021 10:31,Counter-Strike: Global Offensive,132675,944
08/04/2021 10:31,Apex Legends,116256,993
08/04/2021 10:31,Fortnite,108506,985
08/04/2021 10:31,Grand Theft Auto V,107247,956
08/04/2021 10:31,VALORANT,88428,957
08/04/2021 10:31,Escape From Tarkov,95729,912
08/04/2021 10:31,Call of Duty: Warzone,90755,972
08/04/2021 11:32,League of Legends,230581,990
08/04/2021 11:32,Counter-Strike: Global Offensive,217317,953
08/04/2021 11:32,Grand Theft Auto V,136734,971
08/04/2021 11:32,Fortnite,119631,989
08/04/2021 11:32,Apex Legends,121365,996
08/04/2021 11:32,Escape From Tarkov,122313,978
08/04/2021 11:32,Call of Duty: Warzone,106185,985
08/04/2021 11:32,VALORANT,89358,960
08/04/2021 12:33,Counter-Strike: Global Offensive,213940,968
08/04/2021 12:33,League of Legends,195287,990
08/04/2021 12:33,Grand Theft Auto V,172350,982
08/04/2021 12:33,Fortnite,132394,990
08/04/2021 12:33,Call of Duty: Warzone,138801,989
08/04/2021 12:33,Escape From Tarkov,132709,979
08/04/2021 12:33,VALORANT,125464,965
08/04/2021 12:33,Apex Legends,104139,996
08/04/2021 13:33,League of Legends,253284,990
08/04/2021 13:33,Grand Theft Auto V,195778,988
08/04/2021 13:33,Counter-Strike: Global Offensive,174380,976
08/04/2021 13:33,Call of Duty: Warzone,162177,989
08/04/2021 13:33,VALORANT,156715,968
08/04/2021 13:33,Fortnite,137308,990
08/04/2021 13:33,Escape From Tarkov,133511,984
08/04/2021 13:33,Diablo II: Resurrected,117080,45
08/04/2021 14:34,Counter-Strike: Global Offensive,316781,979
08/04/2021 14:34,Diablo II: Resurrected,297839,122
08/04/2021 14:34,League of Legends,255121,991
08/04/2021 14:34,Minecraft,215342,991
08/04/2021 14:34,Grand Theft Auto V,212712,988
08/04/2021 14:34,Call of Duty: Warzone,210556,993
08/04/2021 14:34,Fortnite,177522,988
08/04/2021 14:34,VALORANT,175613,970
08/04/2021 15:34,Diablo II: Resurrected,385170,171
08/04/2021 15:34,Counter-Strike: Global Offensive,326216,981
08/04/2021 15:34,Minecraft,260352,993
08/04/2021 15:34,Grand Theft Auto V,242308,994
08/04/2021 15:34,Call of Duty: Warzone,217217,997
08/04/2021 15:34,VALORANT,216959,974
08/04/2021 15:34,League of Legends,185219,991
08/04/2021 15:34,Fortnite,139303,991
08/04/2021 16:35,Diablo II: Resurrected,324669,180
08/04/2021 16:35,VALORANT,261597,976
08/04/2021 16:35,Grand Theft Auto V,254783,994
08/04/2021 16:35,Call of Duty: Warzone,218406,996
08/04/2021 16:35,League of Legends,188706,990
08/04/2021 16:35,Counter-Strike: Global Offensive,147961,979
08/04/2021 16:35,Minecraft,167117,995
08/04/2021 16:35,Fortnite,130241,992
08/04/2021 17:35,Path of Exile,321024,500
08/04/2021 17:35,Grand Theft Auto V,300994,995
08/04/2021 17:35,Call of Duty: Warzone,220719,996
