Nome,Top 1,Frequência no Top 1,Top 3,Frequência no Top 3,Top 8,Frequência no Top 8,Visualização Média,Pico de Visualizações
League of Legends,51,47.22%,98,90.74%,108,100.00%,246957,752458
Grand Theft Auto V,48,44.44%,90,83.33%,108,100.00%,249678,1095615
Path of Exile,1,50.00%,1,50.00%,2,1.85%,233434,321024
Sea of Thieves,0,0.00%,3,50.00%,6,5.56%,81729,120518
Counter-Strike: Global Offensive,3,4.55%,30,45.45%,66,61.11%,153637,416589
Minecraft,1,1.39%,32,44.44%,72,66.67%,154902,413942
Escape from Tarkov,0,0.00%,2,40.00%,5,4.63%,124883,147762
VALORANT,2,1.90%,27,25.71%,105,97.22%,110383,261597
Fortnite,0,0.00%,22,20.37%,108,100.00%,107166,206727
Diablo II: Resurrected,2,8.33%,3,12.50%,24,22.22%,119497,385170
Dota 2,0,0.00%,2,9.09%,22,20.37%,64469,81867
Apex Legends,0,0.00%,6,8.70%,69,63.89%,68961,156334
Call of Duty: Warzone,0,0.00%,8,7.62%,105,97.22%,100207,220719
FIFA 21,0,0.00%,0,0.00%,6,5.56%,77577,96871
Rocket League,0,0.00%,0,0.00%,15,13.89%,162227,212451
ALTF4,0,0.00%,0,0.00%,2,1.85%,74261,74787
Totally Accurate Battlegrounds,0,0.00%,0,0.00%,1,0.93%,65537,65537
Escape From Tarkov,0,0.00%,0,0.00%,13,12.04%,96571,148342
Dead by Daylight,0,0.00%,0,0.00%,7,6.48%,71988,120859
Squad,0,0.00%,0,0.00%,1,0.93%,62778,62778
Garena Free Fire,0,0.00%,0,0.00%,6,5.56%,57532,74290
Sports,0,0.00%,0,0.00%,3,2.78%,138112,149441
Music,0,0.00%,0,0.00%,4,3.70%,62602,70116
MapleStory,0,0.00%,0,0.00%,1,0.93%,51719,51719
Dungeons & Dragons,0,0.00%,0,0.00%,1,0.93%,59089,59089
Teamfight Tactics,0,0.00%,0,0.00%,1,0.93%,72992,72992
Tabletop RPGs,0,0.00%,0,0.00%,2,1.85%,80911,81790
Scribble It!,0,0.00%,0,0.00%,1,0.93%,44174,44174
